class,best_city,best_tpr,best_support,worst_city,worst_tpr,worst_support,tpr_gap,n_cities
backend_general_dev,Москва,0.7705882352941177,170,Санкт-Петербург,0.4411764705882353,34,0.3294117647058824,3
generic_it_ops,Москва,0.702928870292887,239,Other,0.569811320754717,265,0.13311754953817,6
technical_specialized,Москва,0.5885167464114832,209,Other,0.4557823129251701,147,0.13273443348631314,3
project_product,Санкт-Петербург,0.6125,80,Other,0.48854961832061067,131,0.12395038167938938,3
it_governance_leadership,Москва,0.6286549707602339,342,Other,0.5104166666666666,96,0.11823830409356728,3
sales_account,Other,0.5844155844155844,77,Санкт-Петербург,0.4727272727272727,55,0.11168831168831167,3
web_frontend,Other,0.5882352941176471,51,Москва,0.5373134328358209,67,0.050921861281826186,2
tech_support_helpdesk,Other,0.4473684210526316,76,Санкт-Петербург,0.4166666666666667,36,0.030701754385964897,3
sysadmin_devops_network,Other,0.7387387387387387,333,Санкт-Петербург,0.73,100,0.00873873873873876,3
